model_tag,seed,seq_len,layer,n_layers,K,qbin,qbin_lo,qbin_hi,null_usage,scale0_usage,scale1_usage,scale2_usage
medium,42,2048,22,24,3,0,0,512,0.18821033835411072,0.5459163784980774,0.29045674204826355,0.3255191445350647
medium,42,2048,22,24,3,1,512,1024,0.17350473999977112,0.5522586107254028,0.2982292175292969,0.3566679060459137
medium,42,2048,22,24,3,2,1024,1536,0.16608315706253052,0.5550607442855835,0.30659905076026917,0.37205806374549866
medium,42,2048,22,24,3,3,1536,2048,0.16230179369449615,0.555297315120697,0.31442388892173767,0.381481409072876
medium,42,2048,23,24,3,0,0,512,0.4564453065395355,0.4303484261035919,0.41651102900505066,0.2941858172416687
medium,42,2048,23,24,3,1,512,1024,0.44761359691619873,0.43982356786727905,0.4284047782421112,0.29240933060646057
medium,42,2048,23,24,3,2,1024,1536,0.4375523030757904,0.4488406777381897,0.4380745589733124,0.2917002737522125
medium,42,2048,23,24,3,3,1536,2048,0.4364326298236847,0.4512730836868286,0.4386443495750427,0.28815966844558716
medium,42,4096,0,24,3,0,0,512,0.3150869905948639,0.423613041639328,0.3598622977733612,0.31784868240356445
medium,42,4096,0,24,3,1,512,1024,0.30900728702545166,0.42433735728263855,0.3647623360157013,0.3153604567050934
medium,42,4096,0,24,3,2,1024,1536,0.3077506721019745,0.4252321124076843,0.3659423887729645,0.3201521635055542
medium,42,4096,0,24,3,3,1536,2048,0.30446502566337585,0.42764583230018616,0.368286669254303,0.3173670768737793
medium,42,4096,0,24,3,4,2048,2560,0.3076065182685852,0.42435792088508606,0.3661985397338867,0.3224559724330902
medium,42,4096,0,24,3,5,2560,3072,0.30913636088371277,0.4248059093952179,0.36842048168182373,0.3193950057029724
medium,42,4096,0,24,3,6,3072,3584,0.30576813220977783,0.42604759335517883,0.37237095832824707,0.3211565315723419
medium,42,4096,0,24,3,7,3584,4096,0.30461937189102173,0.42896461486816406,0.36852937936782837,0.32058000564575195
medium,42,4096,1,24,3,0,0,512,0.5751118659973145,0.1585981547832489,0.2872117757797241,0.26187989115715027
medium,42,4096,1,24,3,1,512,1024,0.5769554376602173,0.14538432657718658,0.3012324571609497,0.2680014371871948
